#,Name,Acceptance,Level,Frequency,Link
711,Number of Distinct Islands II,50.60%,Hard,0,https://leetcode.com/problems/number-of-distinct-islands-ii
431,Encode N-ary Tree to Binary Tree,76.00%,Hard,0,https://leetcode.com/problems/encode-n-ary-tree-to-binary-tree
913,Cat and Mouse,35.30%,Hard,0,https://leetcode.com/problems/cat-and-mouse
924,Minimize Malware Spread,41.80%,Hard,0,https://leetcode.com/problems/minimize-malware-spread
1203,Sort Items by Groups Respecting Dependencies,49.10%,Hard,0,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies
1210,Minimum Moves to Reach Target with Rotations,47.80%,Hard,0,https://leetcode.com/problems/minimum-moves-to-reach-target-with-rotations
1298,Maximum Candies You Can Get from Boxes,60.90%,Hard,0,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes
1766,Tree of Coprimes,38.00%,Hard,0,https://leetcode.com/problems/tree-of-coprimes
200,Number of Islands,52.70%,Medium,100,https://leetcode.com/problems/number-of-islands
1197,Minimum Knight Moves,39.40%,Medium,83.8811,https://leetcode.com/problems/minimum-knight-moves
314,Binary Tree Vertical Order Traversal,50.20%,Medium,78.5284,https://leetcode.com/problems/binary-tree-vertical-order-traversal
529,Minesweeper,64.00%,Medium,75.4097,https://leetcode.com/problems/minesweeper
364,Nested List Weight Sum II,67.30%,Medium,72.8886,https://leetcode.com/problems/nested-list-weight-sum-ii
339,Nested List Weight Sum,79.60%,Medium,71.9223,https://leetcode.com/problems/nested-list-weight-sum
863,All Nodes Distance K in Binary Tree,60.30%,Medium,71.3108,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree
199,Binary Tree Right Side View,58.80%,Medium,70.5957,https://leetcode.com/problems/binary-tree-right-side-view
994,Rotting Oranges,51.40%,Medium,68.8166,https://leetcode.com/problems/rotting-oranges
909,Snakes and Ladders,40.00%,Medium,67.257,https://leetcode.com/problems/snakes-and-ladders
721,Accounts Merge,55.10%,Medium,67.2123,https://leetcode.com/problems/accounts-merge
322,Coin Change,39.40%,Medium,66.6965,https://leetcode.com/problems/coin-change
695,Max Area of Island,68.60%,Medium,65.489,https://leetcode.com/problems/max-area-of-island
207,Course Schedule,44.80%,Medium,65.3997,https://leetcode.com/problems/course-schedule
210,Course Schedule II,45.70%,Medium,62.3,https://leetcode.com/problems/course-schedule-ii
103,Binary Tree Zigzag Level Order Traversal,52.60%,Medium,59.7437,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
399,Evaluate Division,56.40%,Medium,59.4614,https://leetcode.com/problems/evaluate-division
787,Cheapest Flights Within K Stops,36.50%,Medium,58.6205,https://leetcode.com/problems/cheapest-flights-within-k-stops
934,Shortest Bridge,52.00%,Medium,58.5007,https://leetcode.com/problems/shortest-bridge
1091,Shortest Path in Binary Matrix,41.80%,Medium,57.7614,https://leetcode.com/problems/shortest-path-in-binary-matrix
279,Perfect Squares,51.40%,Medium,53.7594,https://leetcode.com/problems/perfect-squares
133,Clone Graph,44.70%,Medium,51.965,https://leetcode.com/problems/clone-graph
1319,Number of Operations to Make Network Connected,56.90%,Medium,50.9257,https://leetcode.com/problems/number-of-operations-to-make-network-connected
286,Walls and Gates,58.50%,Medium,50.8325,https://leetcode.com/problems/walls-and-gates
1448,Count Good Nodes in Binary Tree,73.00%,Medium,49.9862,https://leetcode.com/problems/count-good-nodes-in-binary-tree
365,Water and Jug Problem,33.40%,Medium,49.499,https://leetcode.com/problems/water-and-jug-problem
417,Pacific Atlantic Water Flow,47.40%,Medium,48.9451,https://leetcode.com/problems/pacific-atlantic-water-flow
130,Surrounded Regions,33.10%,Medium,47.0587,https://leetcode.com/problems/surrounded-regions
694,Number of Distinct Islands,59.30%,Medium,45.7143,https://leetcode.com/problems/number-of-distinct-islands
662,Maximum Width of Binary Tree,39.70%,Medium,40.6134,https://leetcode.com/problems/maximum-width-of-binary-tree
542,01 Matrix,43.30%,Medium,40.205,https://leetcode.com/problems/01-matrix
102,Binary Tree Level Order Traversal,59.80%,Medium,40.0014,https://leetcode.com/problems/binary-tree-level-order-traversal
797,All Paths From Source to Target,80.50%,Medium,39.2906,https://leetcode.com/problems/all-paths-from-source-to-target
1242,Web Crawler Multithreaded,48.30%,Medium,38.4034,https://leetcode.com/problems/web-crawler-multithreaded
547,Number of Provinces,62.40%,Medium,38.2882,https://leetcode.com/problems/number-of-provinces
1993,Operations on Tree,40.50%,Medium,37.7886,https://leetcode.com/problems/operations-on-tree
652,Find Duplicate Subtrees,55.20%,Medium,37.1135,https://leetcode.com/problems/find-duplicate-subtrees
1466,Reorder Routes to Make All Paths Lead to the City Zero,61.10%,Medium,35.869,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero
785,Is Graph Bipartite?,49.90%,Medium,35.6677,https://leetcode.com/problems/is-graph-bipartite
1926,Nearest Exit from Entrance in Maze,36.90%,Medium,35.6536,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze
959,Regions Cut By Slashes,68.50%,Medium,35.484,https://leetcode.com/problems/regions-cut-by-slashes
449,Serialize and Deserialize BST,55.70%,Medium,35.0742,https://leetcode.com/problems/serialize-and-deserialize-bst
1102,Path With Maximum Minimum Value,52.20%,Medium,34.3697,https://leetcode.com/problems/path-with-maximum-minimum-value
116,Populating Next Right Pointers in Each Node,55.20%,Medium,33.879,https://leetcode.com/problems/populating-next-right-pointers-in-each-node
1306,Jump Game III,62.50%,Medium,33.4953,https://leetcode.com/problems/jump-game-iii
