#,Name,Acceptance,Level,Frequency,Link
652,Find Duplicate Subtrees,55.40%,Medium,61.793,https://leetcode.com/problems/find-duplicate-subtrees
437,Path Sum III,50.00%,Medium,61.6091,https://leetcode.com/problems/path-sum-iii
450,Delete Node in a BST,48.50%,Medium,61.3571,https://leetcode.com/problems/delete-node-in-a-bst
894,All Possible Full Binary Trees,79.20%,Medium,61.098,https://leetcode.com/problems/all-possible-full-binary-trees
1993,Operations on Tree,41.40%,Medium,60.5191,https://leetcode.com/problems/operations-on-tree
979,Distribute Coins in Binary Tree,71.30%,Medium,60.0077,https://leetcode.com/problems/distribute-coins-in-binary-tree
662,Maximum Width of Binary Tree,39.60%,Medium,59.33,https://leetcode.com/problems/maximum-width-of-binary-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,56.80%,Medium,58.3104,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
114,Flatten Binary Tree to Linked List,57.00%,Medium,57.2639,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
2096,Step-By-Step Directions From a Binary Tree Node to Another,47.40%,Medium,57.1895,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another
102,Binary Tree Level Order Traversal,60.30%,Medium,56.4146,https://leetcode.com/problems/binary-tree-level-order-traversal
337,House Robber III,53.40%,Medium,56.1185,https://leetcode.com/problems/house-robber-iii
129,Sum Root to Leaf Numbers,56.10%,Medium,55.1126,https://leetcode.com/problems/sum-root-to-leaf-numbers
222,Count Complete Tree Nodes,54.50%,Medium,49.6479,https://leetcode.com/problems/count-complete-tree-nodes
1026,Maximum Difference Between Node and Ancestor,73.00%,Medium,49.5371,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor
109,Convert Sorted List to Binary Search Tree,54.90%,Medium,48.5529,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
449,Serialize and Deserialize BST,55.90%,Medium,48.0817,https://leetcode.com/problems/serialize-and-deserialize-bst
95,Unique Binary Search Trees II,48.70%,Medium,48.0563,https://leetcode.com/problems/unique-binary-search-trees-ii
113,Path Sum II,53.40%,Medium,47.9698,https://leetcode.com/problems/path-sum-ii
285,Inorder Successor in BST,46.50%,Medium,47.0285,https://leetcode.com/problems/inorder-successor-in-bst
536,Construct Binary Tree from String,55.30%,Medium,47.0273,https://leetcode.com/problems/construct-binary-tree-from-string
1382,Balance a Binary Search Tree,80.00%,Medium,46.837,https://leetcode.com/problems/balance-a-binary-search-tree
1628,Design an Expression Tree With Evaluate Function,81.30%,Medium,46.51,https://leetcode.com/problems/design-an-expression-tree-with-evaluate-function
971,Flip Binary Tree To Match Preorder Traversal,49.90%,Medium,45.6175,https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal
117,Populating Next Right Pointers in Each Node II,45.90%,Medium,44.8787,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii
1305,All Elements in Two Binary Search Trees,79.60%,Medium,44.4278,https://leetcode.com/problems/all-elements-in-two-binary-search-trees
106,Construct Binary Tree from Inorder and Postorder Traversal,54.70%,Medium,43.4244,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal
1448,Count Good Nodes in Binary Tree,73.00%,Medium,43.3848,https://leetcode.com/problems/count-good-nodes-in-binary-tree
515,Find Largest Value in Each Tree Row,64.20%,Medium,42.7912,https://leetcode.com/problems/find-largest-value-in-each-tree-row
669,Trim a Binary Search Tree,64.50%,Medium,41.7934,https://leetcode.com/problems/trim-a-binary-search-tree
958,Check Completeness of a Binary Tree,53.40%,Medium,41.4369,https://leetcode.com/problems/check-completeness-of-a-binary-tree
333,Largest BST Subtree,40.80%,Medium,41.3635,https://leetcode.com/problems/largest-bst-subtree
1339,Maximum Product of Splitted Binary Tree,42.80%,Medium,40.1083,https://leetcode.com/problems/maximum-product-of-splitted-binary-tree
1522,Diameter of N-Ary Tree,72.90%,Medium,39.1607,https://leetcode.com/problems/diameter-of-n-ary-tree
